edge_id,mean_speed,max_occupancy,mean_occupancy,waiting_time,sample_count,congested
-106621768#7,1.778,0.366,0.149,0.0,1899,1
427091880#13,2.635,0.471,0.044,30.0,14864,1
83715132#7,2.383,0.119,0.069,1.0,18,1
-306603650#3,2.300,0.061,0.030,0.0,425,1
83718179#3,2.175,0.639,0.563,0.0,1085,1
323470714#2,1.970,0.098,0.049,0.0,1132,1
-369011875#2,2.584,0.453,0.114,635.0,1256,1
385158750#1,3.419,0.070,0.072,22.0,86,1
106733613#3,2.784,0.066,0.065,93.0,82,1
-106734530#14,2.757,0.379,0.273,0.0,1235,1
83718188,1.092,0.709,0.180,17440.0,19115,1
712927445#4,2.149,0.167,0.083,0.0,362,1
427091880#4,2.699,0.609,0.203,20.0,3026,1
83737060#2,2.881,0.063,0.065,14.0,141,1
-83737071#0,2.731,0.378,0.074,0.0,6425,1
106734569#2,3.996,0.037,0.032,1.0,35,1
-106734574#4,2.840,0.045,0.048,4.0,158,1
-106929064#0,2.011,0.136,0.045,0.0,490,1
-306603560#4,1.984,0.110,0.111,0.0,137,1
555847189,3.399,0.129,0.021,0.0,12866,1
464564740#1,2.169,0.098,0.049,0.0,282,1
-83715139#0,2.336,0.101,0.056,0.0,134,1
407752598#0,2.556,0.517,0.171,0.0,1013,1
385158740#0,2.899,0.062,0.063,5.0,141,1
427091880#9,2.740,0.552,0.297,0.0,2011,1
-369011879#4,2.778,0.180,0.181,0.0,697,1
-435387534#0,4.121,0.141,0.141,0.0,9,1
-106734530#11,1.944,0.116,0.109,0.0,177,1
-306611125#2,2.668,0.057,0.029,82.0,2840,1
106734571#1,2.043,0.142,0.148,0.0,48,1
107553471#4,2.732,0.375,0.394,0.0,606,1
106621530#1,2.489,0.225,0.075,254.0,2960,1
-55465884#1,2.774,0.465,0.098,4.0,9722,1
-106927908#0,2.775,0.129,0.184,0.0,14,1
83715135#1,2.688,0.051,0.055,0.0,37,1
258418175#4,4.178,0.039,0.038,0.0,61,1
393255036#2,3.080,1.608,1.334,3.0,207,1
502799827#3,2.403,0.636,0.766,0.0,162,1
-1206970931#0,2.761,0.062,0.062,0.0,466,1
42980561#2,2.158,0.062,0.066,0.0,74,1
-106864179#3,2.498,0.084,0.105,1.0,24,1
106928653#5,2.582,0.102,0.066,442.0,546,1
390899290#1,2.105,0.058,0.058,0.0,163,1
106622540#1,3.079,0.096,0.113,6.0,17,1
-107537275#10,4.040,0.207,0.068,45.0,3162,1
-107537246#2,2.664,0.093,0.092,0.0,897,1
369010053#0,3.976,0.164,0.079,45.0,2647,1
-435352396,2.916,0.138,0.020,0.0,12382,1
-106734530#4,1.937,0.083,0.087,0.0,124,1
107537257#0,2.493,0.232,0.126,3.0,53,1
